Ent_Mun,open_year,workers,workers_men,workers_wom,working_hours,workers_no_fixedSalary,workers_no_fixedSalary_men,workers_no_fixedSalary_wom,workers_no_fixedSalary_hours,w_age,w_educ,w_no_educ,w_basic_educ,w_med_educ,w_sup_educ,payroll,wage_salary,resell,expenses_stationary,expenses_energy,expenses_freight,expenses_water,internet_expenses_suppliers_web,internet_expenses_suppliers_webIntermediaries,internet_expenses_suppliers_socialNet,internet_expenses_suppliers_email,income_resell,percentage_sales_internet,percentage_sales_internet_webpage,percentage_sales_internet_webpageInterm,percentage_sales_internet_social,percentage_sales_internet_email,stock_level_twoago,stock_level_oneago,resalle_stock_level_twoago,resalle_stock_level_oneago,assets,assets_computation,credit_bank,credit_pop,credit_supp,credit_gov,credit_agio,credit_own,credit_use_open,credit_use_equip,credit_use_vehicle,credit_use_debt,credit_use_supplyNac,credit_use_supplyFor,credit_use_wage,lack_credit_req,lack_credit_noneed,lack_credit_interest,lack_credit_far,lack_credit_procedure,lack_credit_confidence,lack_credit_notgiven,cash_buy,cash_sell,card_buy,card_sell,deposit_buy,deposit_sell,wire_buy,wire_sell,check_buy,check_sell,challenges_lackcredit,challenges_bureocracy,challenges_tax,challenges_competition,challenges_informalCompetition,challenges_TechAccess,challenges_lowDemand,challenges_lowQualityMP,challenges_utilities,challenges_government_cost,challenges_lowQualityWorkers,challenges_insecurity,challenges_corruption,challenges_highInputPrice,total_investment,FBCF,oper_margin,gross_margin_resell,op_margin_exp_income,income_expense_relation,av_prof,total_expenses,total_income,resell_margin,cost_over_income,period,credit,bank_card,internet_bank,internet_formalities,internet_information,internet_management,technology_in_activities,sat,cfe,imss,record_system_extAccount,record_system_ownAccount,record_system_packAccount,record_system_noRegister,Survival,nstores
01001,2006.906705,1.92915876,0.909234662,1.019924099,6.098943074,0,0,0,0,1.92915876,1.92915876,0.062934851,1.175205566,0.491777356,0.199240987,13.33111954,12.99746996,376.513599,0.282416192,21.59297913,0.153383934,2.208728653,0,0,0.031625553,0.031625553,592.1555977,0.019291588,0,0,0,0.031655587,34.14642631,35.61827957,33.97375079,35.43327008,135.4127135,0.913345984,0.030360531,0.018342821,0.008222644,0.009487666,0.01486401,0.000316256,0.035736875,0.028146743,0.002530044,0.008538899,0.06230234,0.001265022,0,0.058823529,0.547122075,0.25142315,0.005376344,0.027514231,0.072738773,0.02055661,98.53510436,98.82732448,0.978494624,0.874762808,0.055344719,0.036369386,0.228652751,0.061669829,0.117014548,0.028462998,0.106894371,0.057874763,0.120493359,0.210942441,0.079696395,0.02340291,0.13598988,0.011068944,0.506957622,0.040164453,0.02055661,0.34345351,0.051233397,0.202087287,7.102783049,5.630929791,23.75675346,36.64079915,23.64720099,136.7233435,36.72334354,376.513599,592.1555977,217.101518,76.22629679,2019,0.122390892,0.054079696,0.270967742,0.116129032,0.587096774,0.55483871,0.16226138,0.371401455,0.787409048,0.007065949,0.295066414,0.238772929,0.006325111,0.459835547,0.254932912,3162
01002,2008.521368,2.102564103,0.769230769,1.333333333,6.176239316,0,0,0,0,2.102564103,2.102564103,0.102564103,1.341880342,0.418803419,0.239316239,12.32478632,11.83760684,331.7606838,1.376068376,13.05982906,1.299145299,0.290598291,0,0,0,0,457.2393162,0,0,0,0,0,28.32478632,33.02564103,28.16239316,32.83760684,119.2478632,1.666666667,0.102564103,0.008547009,0,0.017094017,0.034188034,0,0.025641026,0.034188034,0,0.008547009,0.11965812,0,0,0.034188034,0.290598291,0.418803419,0.025641026,0.128205128,0.085470085,0.025641026,98.54700855,98.71794872,0.598290598,1.025641026,0,0,0,0.256410256,0.854700855,0,0.042735043,0.017094017,0.051282051,0.179487179,0.111111111,0,0.222222222,0,0.418803419,0.042735043,0.017094017,0.205128205,0.076923077,0.316239316,10.46153846,5.760683761,18.65633728,31.86665192,18.42644277,126.8683632,26.86836322,331.7606838,457.2393162,130.1538462,81.57355723,2019,0.179487179,0.042735043,0.4,0.4,0.6,0.4,0.119402985,0.333333333,0.854700855,0.018867925,0.256410256,0.299145299,0,0.444444444,0.30044843,117
01003,2005.861244,2.354066986,0.751196172,1.602870813,8.034315789,0,0,0,0,2.354066986,2.354066986,0.100478469,1.741626794,0.435406699,0.076555024,18.13875598,16.81339713,422.8133971,0.593301435,20.0861244,0.645933014,0.985645933,0,0,0,0,615.062201,0.14354067,0,0,0,0,41.68421053,43.32057416,34.43062201,35.79425837,177.4354067,1.210526316,0.014354067,0.014354067,0.004784689,0.009569378,0.009569378,0,0.014354067,0.004784689,0,0.014354067,0.057416268,0,0,0.090909091,0.540669856,0.392344498,0.004784689,0.033492823,0.04784689,0.028708134,98.61244019,99.00956938,0,0.052631579,0.38277512,0.28708134,0.4784689,0.148325359,0,0.023923445,0.081339713,0.04784689,0.09569378,0.167464115,0.052631579,0.004784689,0.086124402,0,0.655502392,0.071770335,0.023923445,0.272727273,0.086124402,0.330143541,5.612440191,3.976076555,19.66333665,32.17034865,19.40027741,128.6132068,28.61320678,422.8133971,615.062201,193.6124402,80.12125369,2019,0.081339713,0.023923445,0.214285714,0.071428571,0.714285714,0.571428571,0.247311828,0.464114833,0.942583732,0.024038462,0.555023923,0.157894737,0,0.28708134,0.301369863,209
01004,2007.794872,1.923076923,0.666666667,1.256410256,5.846717949,0,0,0,0,1.923076923,1.923076923,0,1.076923077,0.564102564,0.282051282,12.79487179,12.79487179,235.7948718,0.282051282,10.97435897,0,0.923076923,0,0,0,0,372.7948718,0,0,0,0,0,26.05128205,26.46153846,26.05128205,26.46153846,116.2051282,0.512820513,0.076923077,0.025641026,0,0,0,0,0.076923077,0.051282051,0,0,0,0,0,0.025641026,0.307692308,0.512820513,0.025641026,0,0.025641026,0.025641026,99.48717949,100,0.512820513,0,0,0,0,0,0,0,0.025641026,0.025641026,0,0.179487179,0.153846154,0,0.205128205,0,0.333333333,0,0.025641026,0.051282051,0.025641026,0.487179487,0.41025641,0,22.99788209,32.95087937,22.99343052,134.252487,34.252487,235.7948718,372.7948718,137.4102564,77.00656948,2019,0.128205128,0.025641026,NA,NA,NA,NA,0.125,0.128205128,0.897435897,0,0.102564103,0.102564103,0,0.794871795,0.262626263,39
01005,2008.355372,2.051652893,0.809917355,1.241735537,6.649458678,0,0,0,0,2.051652893,2.051652893,0.080578512,1.347107438,0.431818182,0.19214876,13.60123967,13.06818182,401.3760331,0.365702479,22.41528926,0,1.892561983,0,0,0,0,637.5309917,0,0,0,0,0,32.94628099,34.76652893,32.58264463,34.33264463,183.4028926,1.378099174,0.026859504,0.022727273,0.004132231,0.008264463,0.010330579,0.002066116,0.026859504,0.022727273,0.004132231,0.012396694,0.049586777,0,0,0.059917355,0.487603306,0.353305785,0.008264463,0.033057851,0.126033058,0.033057851,98.49173554,98.80991736,0.991735537,0.921487603,0.20661157,0.041322314,0.165289256,0.020661157,0.103305785,0,0.136363636,0.04338843,0.146694215,0.227272727,0.078512397,0.018595041,0.17768595,0.010330579,0.533057851,0.026859504,0.018595041,0.483471074,0.02892562,0.115702479,8.078512397,6.258264463,26.08002692,37.7733374,26.01431582,141.567366,41.56736596,401.3760331,637.5309917,237.9049587,73.77907261,2019,0.107438017,0.039256198,0.304347826,0.173913043,0.695652174,0.652173913,0.154929577,0.179752066,0.729338843,0.006423983,0.219008264,0.272727273,0.002066116,0.506198347,0.335015136,484
01006,2006.259804,2.166666667,0.882352941,1.284313725,7.001735294,0,0,0,0,2.166666667,2.166666667,0.078431373,1.279411765,0.544117647,0.264705882,6.794117647,6.568627451,319.3431373,0.333333333,19.16176471,1.338235294,0.916666667,0,0,0,0,461.8823529,0,0,0,0,0,23.23529412,25.32352941,23.23039216,25.31372549,150.0343137,0.37745098,0.019607843,0.019607843,0.019607843,0.034313725,0,0,0.073529412,0.024509804,0,0,0.039215686,0,0,0.019607843,0.558823529,0.323529412,0,0.029411765,0.044117647,0.014705882,99.3872549,99.06862745,0.073529412,0.098039216,0,0,0,0,0,0,0.102941176,0.014705882,0.102941176,0.12745098,0.039215686,0,0.107843137,0.014705882,0.583333333,0.014705882,0.009803922,0.294117647,0.014705882,0.220588235,58.43137255,56.34313725,20.91860732,33.00383631,20.80160638,129.9590091,29.95900908,319.3431373,461.8823529,144.622549,79.19839362,2019,0.132352941,0.019607843,0.333333333,0,0.333333333,0.833333333,0.111111111,0.235294118,0.808823529,0,0.240196078,0.274509804,0.004901961,0.480392157,0.331002331,204
01007,2005.646512,1.762790698,0.618604651,1.144186047,5.122223256,0,0,0,0,1.762790698,1.762790698,0.074418605,1.093023256,0.418604651,0.176744186,4.930232558,4.790697674,285.4186047,0.060465116,15.66046512,0.041860465,1.069767442,0,0,0,0,454.5953488,0,0,0,0,0,17.69302326,18.14418605,17.68837209,18.13953488,95.33488372,0.172093023,0.023255814,0.004651163,0,0.009302326,0.009302326,0,0.013953488,0.037209302,0,0.004651163,0.013953488,0,0,0.2,0.325581395,0.31627907,0.004651163,0.03255814,0.074418605,0.027906977,99.46511628,99.90697674,0.395348837,0.093023256,0,0,0,0,0,0,0.144186047,0.027906977,0.074418605,0.102325581,0.093023256,0.009302326,0.046511628,0.004651163,0.390697674,0.018604651,0.013953488,0.209302326,0.013953488,0.130232558,3.576744186,3.125581395,27.0853322,35.35536036,26.98673859,146.3191068,46.31910681,285.4186047,454.5953488,169.627907,73.01326141,2019,0.065116279,0.013953488,0,0,0.25,1,0.084745763,0.162790698,0.790697674,0.004854369,0.120930233,0.339534884,0,0.539534884,0.299196787,215
01008,2008.238095,2.19047619,0.928571429,1.261904762,6.443428571,0,0,0,0,2.19047619,2.19047619,0.19047619,1.238095238,0.619047619,0.142857143,11.11904762,11.04761905,391.0714286,0.142857143,14,0,0.571428571,0,0,0,0,592.3333333,0,0,0,0,0,45.5,51.30952381,44.78571429,50.57142857,194.3571429,0.285714286,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0.095238095,0.452380952,0.333333333,0,0,0.023809524,0.047619048,99.76190476,99.76190476,0.238095238,0.238095238,0,0,0,0,0,0,0.261904762,0,0.023809524,0.023809524,0.071428571,0,0.380952381,0,0.404761905,0.023809524,0,0.023809524,0.023809524,0.333333333,24.38095238,18.57142857,22.55724404,35.20145098,22.42505689,135.0935447,35.09354469,391.0714286,592.3333333,207.047619,77.57494311,2019,0.023809524,0,NA,NA,NA,NA,0.038461538,0.214285714,0.666666667,0,0.119047619,0.5,0,0.380952381,0.247524752,42
01009,2003.632184,1.908045977,0.75862069,1.149425287,5.688,0,0,0,0,1.908045977,1.908045977,0.114942529,1.229885057,0.413793103,0.149425287,8.574712644,8.425287356,363.3678161,0.83908046,8.287356322,0.379310345,0.402298851,0,0,0,0,497.5977011,0,0,0,0,0,16.82758621,17.79310345,16.82758621,17.75862069,159.2528736,1.942528736,0.022988506,0.011494253,0.022988506,0.022988506,0.011494253,0,0.011494253,0.022988506,0,0,0.08045977,0,0,0.126436782,0.471264368,0.298850575,0,0.057471264,0.022988506,0.022988506,99.77011494,100,0.229885057,0,0,0,0,0,0,0,0.137931034,0.034482759,0.08045977,0.103448276,0.08045977,0,0.195402299,0,0.287356322,0,0.022988506,0.068965517,0.011494253,0.459770115,3.459770115,2.494252874,21.32662502,29.52357072,21.26234372,130.9345716,30.93457163,363.3678161,497.5977011,135.1609195,78.73765628,2019,0.114942529,0,0,0,0.25,0.75,0.108108108,0.24137931,0.942528736,0.011764706,0.218390805,0.298850575,0,0.482758621,0.455223881,87
01010,2005.575758,1.863636364,0.666666667,1.196969697,5.898878788,0,0,0,0,1.863636364,1.863636364,0.075757576,1.363636364,0.136363636,0.287878788,14.56060606,14.56060606,385.8787879,1.166666667,11.10606061,1.712121212,0.681818182,0,0,0,0,504.1666667,0,0,0,0,0,10.10606061,11.89393939,9.984848485,11.74242424,224.2121212,0.954545455,0.03030303,0.015151515,0.015151515,0,0.015151515,0,0.03030303,0.015151515,0,0,0.03030303,0,0,0.03030303,0.424242424,0.212121212,0,0.015151515,0.151515152,0.060606061,100,100,0,0,0,0,0,0,0,0,0.136363636,0.03030303,0.015151515,0.242424242,0.015151515,0.015151515,0,0,0.454545455,0,0,0.03030303,0,0.196969697,1.787878788,0,13.57566949,25.32051842,13.57449456,119.0195204,19.01952045,385.8787879,504.1666667,120.0454545,86.42550544,2019,0.075757576,0.03030303,0,0,1,0,0.19047619,0.090909091,0.833333333,0,0.045454545,0.409090909,0,0.545454545,0.398148148,66
