Year,Month,State,Municipality,Division,Fijo,Variable (Energía)
2018,ENERO,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,43.62,2.265
2018,ENERO,AGUASCALIENTES,ASIENTOS,BAJÍO,43.62,2.265
2018,ENERO,AGUASCALIENTES,CALVILLO,BAJÍO,43.62,2.265
2018,ENERO,AGUASCALIENTES,COSIO,BAJÍO,43.62,2.265
2018,ENERO,AGUASCALIENTES,EL LLANO,BAJÍO,43.62,2.265
2018,ENERO,AGUASCALIENTES,JESUS MARIA,BAJÍO,43.62,2.265
2018,ENERO,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,43.62,2.265
2018,ENERO,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,43.62,2.265
2018,ENERO,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,43.62,2.265
2018,ENERO,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,43.62,2.265
2018,ENERO,AGUASCALIENTES,TEPEZALA,BAJÍO,43.62,2.265
2018,ENERO,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,65.54,1.608
2018,ENERO,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,65.54,1.608
2018,ENERO,BAJA CALIFORNIA,PLAYAS DE ROSARITO,BAJA CALIFORNIA,65.54,1.608
2018,ENERO,BAJA CALIFORNIA,TECATE,BAJA CALIFORNIA,65.54,1.608
2018,ENERO,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,65.54,1.608
2018,ENERO,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR,65.54,2.196
2018,ENERO,BAJA CALIFORNIA SUR,LA PAZ,BAJA CALIFORNIA SUR,65.54,2.196
2018,ENERO,BAJA CALIFORNIA SUR,LORETO,BAJA CALIFORNIA SUR,65.54,2.196
2018,ENERO,BAJA CALIFORNIA SUR,LOS CABOS,BAJA CALIFORNIA SUR,65.54,2.196
2018,ENERO,BAJA CALIFORNIA SUR,MULEGE,BAJA CALIFORNIA SUR,65.54,2.196
2018,ENERO,CAMPECHE,CALAKMUL,PENINSULAR,49.56,2.367
2018,ENERO,CAMPECHE,CALKINI,PENINSULAR,49.56,2.367
2018,ENERO,CAMPECHE,CAMPECHE,PENINSULAR,49.56,2.367
2018,ENERO,CAMPECHE,CANDELARIA,PENINSULAR,49.56,2.367
2018,ENERO,CAMPECHE,CARMEN,PENINSULAR,49.56,2.367
2018,ENERO,CAMPECHE,CHAMPOTON,PENINSULAR,49.56,2.367
2018,ENERO,CAMPECHE,ESCARCEGA,PENINSULAR,49.56,2.367
2018,ENERO,CAMPECHE,HECELCHAKAN,PENINSULAR,49.56,2.367
2018,ENERO,CAMPECHE,HOPELCHEN,PENINSULAR,49.56,2.367
2018,ENERO,CAMPECHE,PALIZADA,SURESTE,72.38,2.368
2018,ENERO,CAMPECHE,TENABO,PENINSULAR,49.56,2.367
2018,ENERO,CHIAPAS,ACACOYAGUA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,ACALA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,ACAPETAHUA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,ALDAMA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,ALTAMIRANO,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,AMATAN,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,AMATENANGO DE LA FRONTERA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,AMATENANGO DEL VALLE,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,ANGEL ALBINO CORZO,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,ARRIAGA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,BEJUCAL DE OCAMPO,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,BELLA VISTA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,BENEMERITO DE LAS AMERICAS,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,BERRIOZABAL,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,BOCHIL,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CACAHOATAN,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CATAZAJA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CHALCHIHUITAN,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CHAMULA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CHANAL,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CHAPULTENANGO,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CHENALHO,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CHIAPA DE CORZO,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CHIAPILLA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CHICOASEN,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CHICOMUSELO,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CHILON,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,CINTALAPA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,COAPILLA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,COMITAN DE DOMINGUEZ,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,COPAINALA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,EL BOSQUE,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,EL PORVENIR,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,ESCUINTLA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,FRANCISCO LEON,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,FRONTERA COMALAPA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,FRONTERA HIDALGO,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,HUEHUETAN,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,HUITIUPAN,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,HUIXTAN,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,HUIXTLA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,IXHUATAN,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,IXTACOMITAN,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,IXTAPA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,IXTAPANGAJOYA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,JIQUIPILAS,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,JITOTOL,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,JUAREZ,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,LA CONCORDIA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,LA GRANDEZA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,LA INDEPENDENCIA,SURESTE,72.38,2.368
2018,ENERO,CHIAPAS,LA LIBERTAD,SURESTE,72.38,2.368
