,cvegeo,pob
0,01005,129929
1,01008,9552
2,01001,948990
3,01004,17000
4,01011,61997
5,01006,47646
6,01003,58250
7,01010,20853
8,01002,51536
9,01009,22485
10,01007,57369
11,02003,108440
12,02004,1922523
13,02001,443807
14,02006,117568
15,02007,
16,02002,1049792
17,02005,126890
18,03002,64022
19,03009,18052
20,03008,351111
21,03003,292241
22,03001,73021
23,04003,248845
24,04007,8683
25,04013,
26,04005,31917
27,04004,78170
28,04011,46913
29,04012,15297
30,04002,294077
31,05016,1764
32,05004,29578
33,05002,163058
34,05032,42260
35,16019,20198
36,16018,9484
37,16087,15589
38,16086,15534
39,16072,13961
40,16067,16621
41,16022,25138
42,16079,49896
43,16078,12812
44,16075,78935
45,16076,78477
46,16033,21466
47,16035,30627
48,16036,11644
49,16037,7945
50,16038,41973
51,04006,42140
52,04001,59232
53,05009,59035
54,05012,1643
55,16039,9015
56,16040,18385
57,16041,16043
58,16042,14302
59,16049,19086
60,16050,89311
61,16051,13983
62,16052,196003
63,16053,849053
64,16014,17022
65,16015,19633
66,16016,20965
67,16017,35070
68,16083,33453
69,16082,79540
70,16081,9076
71,16056,32598
72,16080,19833
73,16057,8196
74,16034,125712
75,16058,20981
76,16059,9027
77,16060,9437
78,16062,21028
79,16063,14889
80,16064,26832
81,16105,20982
82,16065,39657
83,16089,24074
84,16061,24774
85,16055,45732
86,19037,6048
87,04010,31714
88,04009,59923
89,04008,11452
90,05005,1643
91,05017,118337
92,05018,237951
93,05014,9502
94,05035,720848
95,16028,5233
96,16027,4944
97,16026,4773
98,16025,40560
99,16024,20586
100,20056,1446
101,20364,18654
102,20067,270955
103,20068,23751
104,20073,34652
105,05013,1735
106,16092,12836
107,16093,28556
108,16111,18402
109,16101,8855
110,16100,14911
111,16095,12325
112,16084,31716
113,16102,356786
114,16103,23469
115,16104,15864
116,16094,6420
117,16047,19834
118,16046,14936
119,16048,5745
120,17002,25232
121,17006,187118
122,17028,73539
123,17022,14853
124,20118,2389
125,20085,26194
126,20088,2881
127,05015,1584
128,05020,71627
129,20367,4582
130,20500,7991
131,05024,44472
132,05026,3239
133,05027,122243
134,05025,176327
135,05028,64811
136,05030,879958
137,05031,24759
138,20503,425
139,05033,101041
140,05006,29128
141,05003,23056
142,05023,9642
143,05008,3047
144,05001,1022
145,05022,33129
146,05019,7928
147,05007,12715
148,07120,4315
149,07074,44829
150,07075,28829
151,07057,76398
